,Symbol,Identifier,Company,ISIN
313,LALPATHLAB,LALPATHLABEQN,Dr. Lal Path Labs Ltd.,INE600L01024
314,JSL,JSLEQN,Jindal Stainless Limited,INE220G01021
315,AUROPHARMA,AUROPHARMAEQN,Aurobindo Pharma Limited,INE406A01037
316,BIOCON,BIOCONEQN,Biocon Limited,INE376G01013
317,PATANJALI,PATANJALIEQN,Patanjali Foods Limited,INE619A01035
318,ACC,ACCEQN,ACC Limited,INE012A01025
319,INDIANB,INDIANBEQN,Indian Bank,INE562A01011
320,POLYCAB,POLYCABEQN,Polycab India Limited,INE455K01017
321,TORNTPOWER,TORNTPOWEREQN,Torrent Power Limited,INE813H01021
322,MANYAVAR,MANYAVAREQN,Vedant Fashions Limited,INE825V01034
323,BHEL,BHELEQN,Bharat Heavy Electricals Limited,INE257A01026
324,APLAPOLLO,APLAPOLLOEQN,APL Apollo Tubes Limited,INE702C01027
325,TATAELXSI,TATAELXSIEQN,Tata Elxsi Limited,INE670A01012
326,IGL,IGLEQN,Indraprastha Gas Limited,INE203G01027
327,MAHABANK,MAHABANKEQN,Bank of Maharashtra,INE457A01014
328,ABFRL,ABFRLEQN,Aditya Birla Fashion and Retail Limited,INE647O13016
329,PGHH,PGHHEQN,Procter & Gamble Hygiene and Health Care Limited,INE179A01014
330,M&MFIN,M&MFINEQN,Mahindra & Mahindra Financial Services Limited,INE774D08MG3
331,PERSISTENT,PERSISTENTEQN,Persistent Systems Limited,INE262H01021
332,FORTIS,FORTISEQN,Fortis Healthcare Limited,INE061F13018
333,YESBANK,YESBANKEQN,Yes Bank Limited,INE528G01035
334,POLICYBZR,POLICYBZREQN,PB Fintech Limited,INE417T01026
335,SUMICHEM,SUMICHEMEQN,Sumitomo Chemical India Limited,INE258G01013
336,ISEC,ISECEQN,ICICI Securities Limited,INE763G01038
337,MSUMI,MSUMIEQN,Motherson Sumi Wiring India Limited,INE0FS801015
338,HONAUT,HONAUTEQN,Honeywell Automation India Limited,INE671A01010
339,SUZLON,SUZLONEQN,Suzlon Energy Limited,INE040H01021
340,GODREJIND,GODREJINDEQN,Godrej Industries Limited,INE233A01035
341,GODREJPROP,GODREJPROPEQN,Godrej Properties Limited,INE484J01027
342,FACT,FACTEQN,Fertilizers and Chemicals Travancore Limited,INE188A01015
343,HINDPETRO,HINDPETROEQN,Hindustan Petroleum Corporation Limited,INE169701013
344,CARBORUNIV,CARBORUNIVEQN,Carborundum Universal Limited,INE120A01034
345,GLAND,GLANDEQN,Gland Pharma Limited,INE068V01023
346,PHOENIXLTD,PHOENIXLTDEQN,The Phoenix Mills Limited,INE211B01039
347,MFSL,MFSLEQN,Max Financial Services Limited,INE180A01020
348,KPITTECH,KPITTECHEQN,KPIT Technologies Limited,INE04I401011
